start,end,id,type
0.0000,28.7195,q3nc3.g.gaze.2,id(gtype_down)
28.7195,29.4841,q3nc3.g.gaze.3,id(gtype_up)
29.4841,73.1531,q3nc3.g.gaze.4,id(gtype_down)
73.1531,73.3067,q3nc3.g.gaze.5,id(gtype_up)
73.3067,76.9515,q3nc3.g.gaze.6,id(gtype_down)
76.9515,77.3440,q3nc3.g.gaze.7,id(gtype_up)
77.3440,77.3441,q3nc3.g.gaze.8,id(gtype_down)
77.3441,78.3295,q3nc3.g.gaze.9,id(gtype_up)
78.3295,211.6822,q3nc3.g.gaze.10,id(gtype_down)
211.6822,212.5669,q3nc3.g.gaze.11,id(gtype_up)
212.5669,272.9039,q3nc3.g.gaze.12,id(gtype_down)
272.9039,273.4026,q3nc3.g.gaze.13,id(gtype_up)
273.4026,303.0069,q3nc3.g.gaze.14,id(gtype_down)
303.0069,305.6439,q3nc3.g.gaze.15,id(gtype_up)
305.6439,305.6440,q3nc3.g.gaze.16,id(gtype_down)
305.6440,304.4382,q3nc3.g.gaze.17,id(gtype_up)
304.4382,331.1454,q3nc3.g.gaze.18,id(gtype_down)
