start,end,id,type
0.0000,6.7232,q4ec5.g.gaze.2,id(gtype_down)
6.7232,8.8093,q4ec5.g.gaze.3,id(gtype_up)
8.8093,8.8094,q4ec5.g.gaze.4,id(gtype_down)
8.8094,11.9977,q4ec5.g.gaze.5,id(gtype_up)
11.9977,21.0152,q4ec5.g.gaze.6,id(gtype_down)
21.0152,22.4794,q4ec5.g.gaze.7,id(gtype_up)
22.4794,35.1421,q4ec5.g.gaze.8,id(gtype_down)
35.1421,36.0977,q4ec5.g.gaze.9,id(gtype_up)
36.0977,36.5124,q4ec5.g.gaze.10,id(gtype_down)
36.5124,36.7897,q4ec5.g.gaze.11,id(gtype_up)
36.7897,37.5186,q4ec5.g.gaze.12,id(gtype_down)
37.5186,37.8761,q4ec5.g.gaze.13,id(gtype_up)
37.8761,38.4348,q4ec5.g.gaze.14,id(gtype_down)
38.4348,39.6418,q4ec5.g.gaze.15,id(gtype_up)
39.6418,50.6526,q4ec5.g.gaze.16,id(gtype_down)
50.6526,52.0930,q4ec5.g.gaze.17,id(gtype_up)
52.0930,58.8085,q4ec5.g.gaze.18,id(gtype_down)
58.8085,60.0047,q4ec5.g.gaze.19,id(gtype_up)
60.0047,65.9533,q4ec5.g.gaze.20,id(gtype_down)
65.9533,67.5605,q4ec5.g.gaze.21,id(gtype_up)
67.5605,72.3053,q4ec5.g.gaze.22,id(gtype_down)
72.3053,73.8419,q4ec5.g.gaze.23,id(gtype_up)
73.8419,85.6944,q4ec5.g.gaze.24,id(gtype_down)
85.6944,85.6945,q4ec5.g.gaze.25,id(gtype_up)
85.6945,97.1426,q4ec5.g.gaze.26,id(gtype_down)
97.1426,98.1419,q4ec5.g.gaze.27,id(gtype_up)
98.1419,139.5815,q4ec5.g.gaze.28,id(gtype_down)
139.5815,140.6860,q4ec5.g.gaze.29,id(gtype_up)
140.6860,141.9357,q4ec5.g.gaze.30,id(gtype_down)
141.9357,143.5482,q4ec5.g.gaze.31,id(gtype_up)
143.5482,145.1804,q4ec5.g.gaze.32,id(gtype_down)
145.1804,146.4710,q4ec5.g.gaze.33,id(gtype_up)
146.4710,147.2294,q4ec5.g.gaze.34,id(gtype_down)
147.2294,157.0647,q4ec5.g.gaze.35,id(gtype_up)
157.0647,157.3930,q4ec5.g.gaze.36,id(gtype_down)
157.3930,158.6892,q4ec5.g.gaze.37,id(gtype_up)
