start,end,id,type
0.0000,15.5475,q4nc1.f.gaze.2,id(gtype_down)
15.5475,16.6872,q4nc1.f.gaze.3,id(gtype_off)
16.6872,17.4500,q4nc1.f.gaze.5,id(gtype_down)
17.4500,18.9269,q4nc1.f.gaze.6,id(gtype_off)
18.9269,66.6077,q4nc1.f.gaze.8,id(gtype_down)
66.6077,68.2632,q4nc1.f.gaze.9,id(gtype_off)
68.2632,71.0931,q4nc1.f.gaze.11,id(gtype_down)
71.0931,73.3157,q4nc1.f.gaze.12,id(gtype_off)
73.3157,73.8384,q4nc1.f.gaze.14,id(gtype_down)
73.8384,77.0691,q4nc1.f.gaze.15,id(gtype_off)
77.0691,79.5478,q4nc1.f.gaze.17,id(gtype_down)
79.5478,84.0422,q4nc1.f.gaze.18,id(gtype_off)
84.0422,88.0811,q4nc1.f.gaze.20,id(gtype_down)
88.0811,88.8387,q4nc1.f.gaze.21,id(gtype_off)
88.8387,89.1847,q4nc1.f.gaze.23,id(gtype_down)
89.1847,92.6729,q4nc1.f.gaze.24,id(gtype_off)
92.6729,102.1490,q4nc1.f.gaze.26,id(gtype_down)
102.1490,107.1036,q4nc1.f.gaze.27,id(gtype_off)
107.1036,109.1462,q4nc1.f.gaze.29,id(gtype_down)
109.1462,107.8769,q4nc1.f.gaze.30,id(gtype_off)
107.8769,116.7553,q4nc1.f.gaze.32,id(gtype_down)
116.7553,120.3663,q4nc1.f.gaze.33,id(gtype_off)
120.3663,121.0232,q4nc1.f.gaze.35,id(gtype_down)
121.0232,121.0232,q4nc1.f.gaze.36,id(gtype_off)
121.0232,139.5342,q4nc1.f.gaze.38,id(gtype_down)
139.5342,141.3085,q4nc1.f.gaze.39,id(gtype_up)
141.3085,164.6527,q4nc1.f.gaze.40,id(gtype_down)
164.6527,165.0185,q4nc1.f.gaze.41,id(gtype_up)
165.0185,167.1371,q4nc1.f.gaze.43,id(gtype_off)
167.1371,169.0361,q4nc1.f.gaze.45,id(gtype_down)
169.0361,170.3619,q4nc1.f.gaze.46,id(gtype_off)
170.3619,171.1580,q4nc1.f.gaze.48,id(gtype_down)
171.1580,174.3695,q4nc1.f.gaze.49,id(gtype_off)
174.3695,175.2229,q4nc1.f.gaze.51,id(gtype_down)
175.2229,180.4806,q4nc1.f.gaze.52,id(gtype_off)
180.4806,181.7465,q4nc1.f.gaze.54,id(gtype_down)
181.7465,183.7146,q4nc1.f.gaze.55,id(gtype_off)
183.7146,186.0218,q4nc1.f.gaze.57,id(gtype_down)
186.0218,201.5963,q4nc1.f.gaze.58,id(gtype_off)
201.5963,202.7459,q4nc1.f.gaze.60,id(gtype_down)
202.7459,206.8527,q4nc1.f.gaze.61,id(gtype_off)
206.8527,207.4545,q4nc1.f.gaze.63,id(gtype_down)
207.4545,214.3494,q4nc1.f.gaze.64,id(gtype_off)
214.3494,215.5362,q4nc1.f.gaze.66,id(gtype_down)
215.5362,218.0296,q4nc1.f.gaze.67,id(gtype_off)
218.0296,218.8939,q4nc1.f.gaze.69,id(gtype_down)
218.8939,218.1997,q4nc1.f.gaze.70,id(gtype_off)
218.1997,224.2610,q4nc1.f.gaze.72,id(gtype_down)
224.2610,258.3212,q4nc1.f.gaze.76,id(gtype_off)
258.3212,265.4662,q4nc1.f.gaze.78,id(gtype_down)
265.4662,268.5992,q4nc1.f.gaze.79,id(gtype_off)
268.5992,272.7323,q4nc1.f.gaze.81,id(gtype_down)
272.7323,278.5101,q4nc1.f.gaze.82,id(gtype_off)
278.5101,279.6299,q4nc1.f.gaze.84,id(gtype_down)
279.6299,302.8936,q4nc1.f.gaze.85,id(gtype_off)
302.8936,306.2079,q4nc1.f.gaze.87,id(gtype_down)
306.2079,308.5484,q4nc1.f.gaze.88,id(gtype_off)
308.5484,310.2605,q4nc1.f.gaze.90,id(gtype_down)
310.2605,309.1024,q4nc1.f.gaze.91,id(gtype_off)
309.1024,315.3370,q4nc1.f.gaze.93,id(gtype_down)
315.3370,325.9221,q4nc1.f.gaze.94,id(gtype_off)
325.9221,352.9752,q4nc1.f.gaze.96,id(gtype_down)
352.9752,354.3757,q4nc1.f.gaze.97,id(gtype_off)
354.3757,358.0056,q4nc1.f.gaze.99,id(gtype_down)
358.0056,357.2120,q4nc1.f.gaze.100,id(gtype_off)
357.2120,360.6927,q4nc1.f.gaze.102,id(gtype_down)
360.6927,363.1734,q4nc1.f.gaze.103,id(gtype_off)
363.1734,365.2727,q4nc1.f.gaze.105,id(gtype_down)
365.2727,369.7183,q4nc1.f.gaze.106,id(gtype_off)
369.7183,373.6749,q4nc1.f.gaze.108,id(gtype_down)
373.6749,374.7322,q4nc1.f.gaze.109,id(gtype_off)
374.7322,376.2488,q4nc1.f.gaze.111,id(gtype_down)
376.2488,380.2783,q4nc1.f.gaze.112,id(gtype_off)
380.2783,386.6777,q4nc1.f.gaze.114,id(gtype_down)
386.6777,388.3107,q4nc1.f.gaze.115,id(gtype_off)
388.3107,394.6959,q4nc1.f.gaze.117,id(gtype_down)
394.6959,394.6960,q4nc1.f.gaze.118,id(gtype_off)
394.6960,401.5235,q4nc1.f.gaze.120,id(gtype_down)
