start,end,id,type
0.0000,0.4973,q8ec2.f.gaze.3,id(gtype_up)
0.4973,5.4255,q8ec2.f.gaze.4,id(gtype_down)
5.4255,5.5674,q8ec2.f.gaze.5,id(gtype_up)
5.5674,19.0242,q8ec2.f.gaze.6,id(gtype_down)
19.0242,19.4415,q8ec2.f.gaze.7,id(gtype_up)
19.4415,29.5647,q8ec2.f.gaze.8,id(gtype_down)
29.5647,30.3690,q8ec2.f.gaze.9,id(gtype_up)
30.3690,50.9131,q8ec2.f.gaze.10,id(gtype_down)
50.9131,54.3616,q8ec2.f.gaze.11,id(gtype_up)
54.3616,56.0482,q8ec2.f.gaze.12,id(gtype_down)
56.0482,56.2714,q8ec2.f.gaze.13,id(gtype_up)
56.2714,60.6914,q8ec2.f.gaze.14,id(gtype_down)
60.6914,61.4744,q8ec2.f.gaze.15,id(gtype_up)
61.4744,63.6154,q8ec2.f.gaze.16,id(gtype_down)
63.6154,65.4154,q8ec2.f.gaze.17,id(gtype_up)
65.4154,66.1868,q8ec2.f.gaze.18,id(gtype_down)
66.1868,67.1068,q8ec2.f.gaze.19,id(gtype_up)
67.1068,67.5440,q8ec2.f.gaze.20,id(gtype_down)
67.5440,67.8831,q8ec2.f.gaze.21,id(gtype_up)
67.8831,68.8280,q8ec2.f.gaze.22,id(gtype_down)
68.8280,72.4949,q8ec2.f.gaze.23,id(gtype_up)
72.4949,81.7902,q8ec2.f.gaze.24,id(gtype_down)
81.7902,83.2128,q8ec2.f.gaze.25,id(gtype_up)
83.2128,86.8758,q8ec2.f.gaze.26,id(gtype_down)
86.8758,87.8798,q8ec2.f.gaze.27,id(gtype_up)
87.8798,88.7208,q8ec2.f.gaze.28,id(gtype_down)
88.7208,89.1847,q8ec2.f.gaze.29,id(gtype_up)
89.1847,91.9481,q8ec2.f.gaze.30,id(gtype_down)
91.9481,94.5527,q8ec2.f.gaze.31,id(gtype_up)
94.5527,95.1663,q8ec2.f.gaze.32,id(gtype_down)
95.1663,95.6556,q8ec2.f.gaze.33,id(gtype_up)
95.6556,97.6378,q8ec2.f.gaze.34,id(gtype_down)
97.6378,98.2928,q8ec2.f.gaze.35,id(gtype_up)
98.2928,100.3861,q8ec2.f.gaze.36,id(gtype_down)
100.3861,101.1437,q8ec2.f.gaze.37,id(gtype_up)
101.1437,105.8109,q8ec2.f.gaze.38,id(gtype_down)
105.8109,104.4580,q8ec2.f.gaze.39,id(gtype_up)
104.4580,104.9834,q8ec2.f.gaze.40,id(gtype_down)
104.9834,108.1957,q8ec2.f.gaze.41,id(gtype_up)
108.1957,108.6346,q8ec2.f.gaze.42,id(gtype_down)
108.6346,109.9249,q8ec2.f.gaze.43,id(gtype_up)
109.9249,110.5952,q8ec2.f.gaze.44,id(gtype_down)
110.5952,111.2498,q8ec2.f.gaze.45,id(gtype_up)
111.2498,113.9643,q8ec2.f.gaze.46,id(gtype_down)
113.9643,116.7266,q8ec2.f.gaze.47,id(gtype_up)
116.7266,116.9564,q8ec2.f.gaze.48,id(gtype_down)
116.9564,121.0066,q8ec2.f.gaze.49,id(gtype_up)
121.0066,124.6240,q8ec2.f.gaze.50,id(gtype_down)
124.6240,130.1410,q8ec2.f.gaze.51,id(gtype_off)
130.1410,133.7083,q8ec2.f.gaze.53,id(gtype_down)
133.7083,133.9014,q8ec2.f.gaze.54,id(gtype_up)
133.9014,141.6778,q8ec2.f.gaze.55,id(gtype_down)
141.6778,142.4773,q8ec2.f.gaze.56,id(gtype_up)
142.4773,146.8501,q8ec2.f.gaze.57,id(gtype_down)
146.8501,148.1495,q8ec2.f.gaze.58,id(gtype_up)
148.1495,150.3974,q8ec2.f.gaze.59,id(gtype_down)
150.3974,150.9039,q8ec2.f.gaze.60,id(gtype_up)
150.9039,153.0157,q8ec2.f.gaze.61,id(gtype_down)
153.0157,153.6316,q8ec2.f.gaze.62,id(gtype_up)
153.6316,157.9344,q8ec2.f.gaze.63,id(gtype_down)
157.9344,158.3275,q8ec2.f.gaze.64,id(gtype_up)
158.3275,179.2499,q8ec2.f.gaze.65,id(gtype_down)
179.2499,181.5003,q8ec2.f.gaze.66,id(gtype_up)
181.5003,183.4554,q8ec2.f.gaze.67,id(gtype_down)
183.4554,186.3718,q8ec2.f.gaze.68,id(gtype_up)
186.3718,186.9499,q8ec2.f.gaze.69,id(gtype_down)
186.9499,189.4104,q8ec2.f.gaze.70,id(gtype_up)
189.4104,219.7255,q8ec2.f.gaze.71,id(gtype_down)
219.7255,220.3094,q8ec2.f.gaze.72,id(gtype_up)
220.3094,234.2372,q8ec2.f.gaze.73,id(gtype_down)
234.2372,238.8131,q8ec2.f.gaze.74,id(gtype_up)
238.8131,238.8132,q8ec2.f.gaze.75,id(gtype_down)
238.8132,240.3612,q8ec2.f.gaze.76,id(gtype_up)
240.3612,241.8334,q8ec2.f.gaze.77,id(gtype_down)
241.8334,243.1988,q8ec2.f.gaze.78,id(gtype_up)
243.1988,246.8013,q8ec2.f.gaze.79,id(gtype_down)
246.8013,248.4539,q8ec2.f.gaze.80,id(gtype_up)
248.4539,250.2376,q8ec2.f.gaze.81,id(gtype_down)
250.2376,251.5913,q8ec2.f.gaze.82,id(gtype_up)
251.5913,251.8828,q8ec2.f.gaze.83,id(gtype_down)
251.8828,256.2949,q8ec2.f.gaze.84,id(gtype_up)
