move_id,label,rep,children
q3ec3.g.move.0.5,,none,id(q3ec3g.1)
q3ec3.g.move.1,query_yn,none,id(q3ec3g.2)..id(q3ec3g.15)
q3ec3.g.move.2.5,,none,id(q3ec3g.17)
q3ec3.g.move.3,acknowledge,none,id(q3ec3g.18)
q3ec3.g.move.3.5,,none,id(q3ec3g.20)..id(q3ec3g.22)
q3ec3.g.move.4,instruct,none,id(q3ec3g.23)..id(q3ec3g.41)
q3ec3.g.move.5.5,,none,id(q3ec3g.42)..id(q3ec3g.44)
q3ec3.g.move.6,ready,none,id(q3ec3g.45)
q3ec3.g.move.6.5,,none,id(q3ec3g.47)
q3ec3.g.move.7,instruct,none,id(q3ec3g.48)..id(q3ec3g.58)
q3ec3.g.move.8.5,,none,id(q3ec3g.59)
q3ec3.g.move.9,reply_y,other,id(q3ec3g.60)..id(q3ec3g.63)
q3ec3.g.move.9.5,,none,id(q3ec3g.65)..id(q3ec3g.67)
q3ec3.g.move.10,query_yn,none,id(q3ec3g.68)..id(q3ec3g.79)
q3ec3.g.move.11.5,,none,id(q3ec3g.81)
q3ec3.g.move.12,acknowledge,none,id(q3ec3g.82)
q3ec3.g.move.12.5,,none,id(q3ec3g.84)
q3ec3.g.move.13,instruct,none,id(q3ec3g.85)..id(q3ec3g.103)
q3ec3.g.move.13.5,,none,id(q3ec3g.105)
q3ec3.g.move.14,ready,none,id(q3ec3g.106)..id(q3ec3g.114)
q3ec3.g.move.14.5,,none,id(q3ec3g.115)
q3ec3.g.move.15,query_yn,none,id(q3ec3g.116)..id(q3ec3g.125)
q3ec3.g.move.16.5,,none,id(q3ec3g.127)..id(q3ec3g.129)
q3ec3.g.move.17,acknowledge,none,id(q3ec3g.130)
q3ec3.g.move.18,instruct,none,id(q3ec3g.132)..id(q3ec3g.146)
q3ec3.g.move.18.5,,none,id(q3ec3g.147)..id(q3ec3g.149)
q3ec3.g.move.18.6,acknowledge,none,id(q3ec3g.150)
q3ec3.g.move.18.7,,none,id(q3ec3g.152)..id(q3ec3g.154)
q3ec3.g.move.18.8,ready,none,id(q3ec3g.155)
q3ec3.g.move.19.2,,none,id(q3ec3g.156)..id(q3ec3g.160)
q3ec3.g.move.19.3,instruct,none,id(q3ec3g.161)..id(q3ec3g.185)
q3ec3.g.move.19.4,,none,id(q3ec3g.187)
q3ec3.g.move.19.9,instruct,none,id(q3ec3g.188)..id(q3ec3g.193)
q3ec3.g.move.22.5,,none,id(q3ec3g.195)
q3ec3.g.move.23,reply_y,none,id(q3ec3g.196)
q3ec3.g.move.24.5,,none,id(q3ec3g.198)
q3ec3.g.move.25,instruct,none,id(q3ec3g.198.1)..id(q3ec3g.207)
q3ec3.g.move.27.5,,none,id(q3ec3g.209)
q3ec3.g.move.28,reply_y,none,id(q3ec3g.210)..id(q3ec3g.212)
q3ec3.g.move.29.5,,none,id(q3ec3g.214)..id(q3ec3g.217)
q3ec3.g.move.30,acknowledge,none,id(q3ec3g.218)
q3ec3.g.move.31,instruct,none,id(q3ec3g.220)..id(q3ec3g.223)
q3ec3.g.move.32,query_yn,none,id(q3ec3g.225)..id(q3ec3g.231)
q3ec3.g.move.34.5,,none,id(q3ec3g.233)
q3ec3.g.move.35,acknowledge,other,id(q3ec3g.234)..id(q3ec3g.237)
q3ec3.g.move.36,check,none,id(q3ec3g.239)..id(q3ec3g.243)
q3ec3.g.move.37.5,,none,id(q3ec3g.245)
q3ec3.g.move.38,acknowledge,none,id(q3ec3g.246)..id(q3ec3g.248)
q3ec3.g.move.39,instruct,none,id(q3ec3g.250)..id(q3ec3g.274)
q3ec3.g.move.40.5,,none,id(q3ec3g.276)
q3ec3.g.move.41,query_yn,none,id(q3ec3g.277)..id(q3ec3g.288)
q3ec3.g.move.43.5,,none,id(q3ec3g.290)..id(q3ec3g.292)
q3ec3.g.move.44,query_yn,none,id(q3ec3g.293)..id(q3ec3g.337)
q3ec3.g.move.45.5,,none,id(q3ec3g.339)
q3ec3.g.move.46,acknowledge,none,id(q3ec3g.340)
q3ec3.g.move.47,instruct,none,id(q3ec3g.342)..id(q3ec3g.360)
q3ec3.g.move.48.5,,none,id(q3ec3g.362)..id(q3ec3g.364)
q3ec3.g.move.49,instruct,none,id(q3ec3g.365)..id(q3ec3g.379)
q3ec3.g.move.52.5,,none,id(q3ec3g.381)
q3ec3.g.move.53,reply_y,none,id(q3ec3g.382)..id(q3ec3g.384)
q3ec3.g.move.54.5,,none,id(q3ec3g.386)
q3ec3.g.move.55,explain,none,id(q3ec3g.387)..id(q3ec3g.390)
q3ec3.g.move.56.5,,none,id(q3ec3g.391)
q3ec3.g.move.57,reply_y,none,id(q3ec3g.392)
q3ec3.g.move.57.5,,none,id(q3ec3g.394)
q3ec3.g.move.58,clarify,none,id(q3ec3g.395)..id(q3ec3g.405)
q3ec3.g.move.59.5,,none,id(q3ec3g.407)
q3ec3.g.move.60,acknowledge,none,id(q3ec3g.408)..id(q3ec3g.415)
q3ec3.g.move.63.5,,none,id(q3ec3g.417)
q3ec3.g.move.64,check,none,id(q3ec3g.418)..id(q3ec3g.420)
q3ec3.g.move.65.5,,none,id(q3ec3g.422)..id(q3ec3g.424)
q3ec3.g.move.66,acknowledge,none,id(q3ec3g.425)
q3ec3.g.move.67,instruct,none,id(q3ec3g.427)..id(q3ec3g.431)
q3ec3.g.move.67.5,,none,id(q3ec3g.432)
q3ec3.g.move.68,query_yn,none,id(q3ec3g.433)..id(q3ec3g.438)
q3ec3.g.move.69.5,,none,id(q3ec3g.440)
q3ec3.g.move.70,acknowledge,other,id(q3ec3g.441)
q3ec3.g.move.72.5,,none,id(q3ec3g.443)..id(q3ec3g.446)
q3ec3.g.move.73,acknowledge,none,id(q3ec3g.447)..id(q3ec3g.448)
q3ec3.g.move.74,explain,none,id(q3ec3g.450)..id(q3ec3g.458)
q3ec3.g.move.74.5,,none,id(q3ec3g.460)
q3ec3.g.move.75,instruct,none,id(q3ec3g.461)..id(q3ec3g.511)
q3ec3.g.move.76.5,,none,id(q3ec3g.512)..id(q3ec3g.515)
q3ec3.g.move.77,reply_y,none,id(q3ec3g.516)
q3ec3.g.move.78.5,,none,id(q3ec3g.518)..id(q3ec3g.520)
q3ec3.g.move.79,instruct,none,id(q3ec3g.521)..id(q3ec3g.533)
q3ec3.g.move.80.5,,none,id(q3ec3g.535)
q3ec3.g.move.81,reply_y,none,id(q3ec3g.536)
q3ec3.g.move.82.5,,none,id(q3ec3g.538)
q3ec3.g.move.83,clarify,none,id(q3ec3g.539)..id(q3ec3g.560)
q3ec3.g.move.84.5,,none,id(q3ec3g.562)
q3ec3.g.move.85,clarify,none,id(q3ec3g.563)..id(q3ec3g.569)
q3ec3.g.move.86.5,,none,id(q3ec3g.570)
q3ec3.g.move.87,clarify,none,id(q3ec3g.571)..id(q3ec3g.591)
q3ec3.g.move.90.5,,none,id(q3ec3g.593)..id(q3ec3g.595)
q3ec3.g.move.91,reply_y,none,id(q3ec3g.596)..id(q3ec3g.600)
q3ec3.g.move.91.5,,none,id(q3ec3g.601)
q3ec3.g.move.92,instruct,none,id(q3ec3g.602)..id(q3ec3g.616)
q3ec3.g.move.93.5,,none,id(q3ec3g.618)..id(q3ec3g.620)
q3ec3.g.move.94,instruct,none,id(q3ec3g.621)..id(q3ec3g.634)
q3ec3.g.move.95.5,,none,id(q3ec3g.636)
q3ec3.g.move.96,query_w,none,id(q3ec3g.637)..id(q3ec3g.646)
q3ec3.g.move.97.5,,none,id(q3ec3g.648)
q3ec3.g.move.98,query_yn,none,id(q3ec3g.649)..id(q3ec3g.666)
q3ec3.g.move.99.5,,none,id(q3ec3g.668)
q3ec3.g.move.100,acknowledge,none,id(q3ec3g.669)
q3ec3.g.move.102,instruct,none,id(q3ec3g.671)..id(q3ec3g.674)
q3ec3.g.move.102.1,,none,id(q3ec3g.675)
q3ec3.g.move.103,query_yn,none,id(q3ec3g.676)..id(q3ec3g.685)
q3ec3.g.move.104.5,,none,id(q3ec3g.687)..id(q3ec3g.689)
q3ec3.g.move.105,acknowledge,none,id(q3ec3g.690)
q3ec3.g.move.106,instruct,none,id(q3ec3g.692)..id(q3ec3g.709)
q3ec3.g.move.106.5,,none,id(q3ec3g.711)
q3ec3.g.move.107,align,none,id(q3ec3g.712)
q3ec3.g.move.108.5,,none,id(q3ec3g.714)..id(q3ec3g.717)
q3ec3.g.move.109,instruct,none,id(q3ec3g.718)..id(q3ec3g.734)
q3ec3.g.move.109.5,,none,id(q3ec3g.736)
q3ec3.g.move.110,explain,none,id(q3ec3g.737)..id(q3ec3g.747)
q3ec3.g.move.112.5,,none,id(q3ec3g.748)..id(q3ec3g.750)
q3ec3.g.move.113,align,none,id(q3ec3g.751)..id(q3ec3g.780)
q3ec3.g.move.114.5,,none,id(q3ec3g.782)
q3ec3.g.move.115,reply_n,none,id(q3ec3g.783)
q3ec3.g.move.116.5,,none,id(q3ec3g.785)..id(q3ec3g.787)
q3ec3.g.move.117,clarify,none,id(q3ec3g.788)..id(q3ec3g.803)
q3ec3.g.move.118.5,,none,id(q3ec3g.805)
q3ec3.g.move.119,acknowledge,none,id(q3ec3g.806)
q3ec3.g.move.119.5,,none,id(q3ec3g.808)..id(q3ec3g.810)
q3ec3.g.move.120,instruct,none,id(q3ec3g.811)..id(q3ec3g.839)
q3ec3.g.move.121.5,,none,id(q3ec3g.841)
q3ec3.g.move.122,reply_y,none,id(q3ec3g.842)
q3ec3.g.move.123.5,,none,id(q3ec3g.844)
q3ec3.g.move.124,reply_y,other,id(q3ec3g.845)..id(q3ec3g.850)
q3ec3.g.move.125.5,,none,id(q3ec3g.852)..id(q3ec3g.855)
q3ec3.g.move.126,instruct,none,id(q3ec3g.856)..id(q3ec3g.881)
q3ec3.g.move.127.5,,none,id(q3ec3g.883)..id(q3ec3g.887)
q3ec3.g.move.128,clarify,none,id(q3ec3g.888)..id(q3ec3g.896)
