move_id,label,rep,children
q5nc1.f.move.3.5,,none,id(q5nc1f.1)
q5nc1.f.move.4,check,none,id(q5nc1f.2)
q5nc1.f.move.5.5,,none,id(q5nc1f.4)
q5nc1.f.move.6,explain,none,id(q5nc1f.5)..id(q5nc1f.17)
q5nc1.f.move.9.5,,none,id(q5nc1f.19)
q5nc1.f.move.10,acknowledge,none,id(q5nc1f.20)..id(q5nc1f.25)
q5nc1.f.move.11.5,,none,id(q5nc1f.26)
q5nc1.f.move.12,acknowledge,other,id(q5nc1f.27)..id(q5nc1f.28)
q5nc1.f.move.13.5,,none,id(q5nc1f.30)
q5nc1.f.move.14,reply_n,none,id(q5nc1f.31)..id(q5nc1f.33)
q5nc1.f.move.15.5,,none,id(q5nc1f.35)..id(q5nc1f.36)
q5nc1.f.move.16,explain,none,id(q5nc1f.37)..id(q5nc1f.46)
q5nc1.f.move.17.5,,none,id(q5nc1f.48)..id(q5nc1f.50)
q5nc1.f.move.18,acknowledge,none,id(q5nc1f.51)..id(q5nc1f.53)
q5nc1.f.move.19.5,,none,id(q5nc1f.54)
q5nc1.f.move.20,explain,none,id(q5nc1f.55)..id(q5nc1f.69)
q5nc1.f.move.22.5,,none,id(q5nc1f.70)
q5nc1.f.move.23,explain,none,id(q5nc1f.71)..id(q5nc1f.83)
q5nc1.f.move.26.5,,none,id(q5nc1f.85)
q5nc1.f.move.27,reply_y,none,id(q5nc1f.86)..id(q5nc1f.92)
q5nc1.f.move.29.5,,none,id(q5nc1f.94)
q5nc1.f.move.30,check,none,id(q5nc1f.95)..id(q5nc1f.112)
q5nc1.f.move.32.5,,none,id(q5nc1f.114)
q5nc1.f.move.33,query_w,none,id(q5nc1f.115)
q5nc1.f.move.36.5,,none,id(q5nc1f.117)
q5nc1.f.move.37,reply_y,none,id(q5nc1f.118)..id(q5nc1f.120)
q5nc1.f.move.39.5,,none,id(q5nc1f.121)
q5nc1.f.move.40,check,none,id(q5nc1f.122)..id(q5nc1f.130)
q5nc1.f.move.40.5,,none,id(q5nc1f.132)
q5nc1.f.move.41,reply_n,none,id(q5nc1f.133)..id(q5nc1f.136)
q5nc1.f.move.41.5,,none,id(q5nc1f.138)
q5nc1.f.move.42,explain,none,id(q5nc1f.139)..id(q5nc1f.168)
q5nc1.f.move.45.5,,none,id(q5nc1f.170)
q5nc1.f.move.46,acknowledge,none,id(q5nc1f.171)..id(q5nc1f.179)
q5nc1.f.move.47.5,,none,id(q5nc1f.180)
q5nc1.f.move.48,acknowledge,none,id(q5nc1f.181)
q5nc1.f.move.50.5,,none,id(q5nc1f.183)
q5nc1.f.move.51,acknowledge,none,id(q5nc1f.184)
q5nc1.f.move.52.5,,none,id(q5nc1f.186)
q5nc1.f.move.53,acknowledge,none,id(q5nc1f.187)
q5nc1.f.move.54.5,,none,id(q5nc1f.189)
q5nc1.f.move.55,query_yn,none,id(q5nc1f.190)
q5nc1.f.move.56.5,,none,id(q5nc1f.192)
q5nc1.f.move.57,check,other,id(q5nc1f.193)..id(q5nc1f.195)
q5nc1.f.move.59.5,,none,id(q5nc1f.196)
q5nc1.f.move.60,check,other,id(q5nc1f.197)..id(q5nc1f.202)
q5nc1.f.move.61.5,,none,id(q5nc1f.204)
q5nc1.f.move.62,acknowledge,none,id(q5nc1f.205)..id(q5nc1f.217)
q5nc1.f.move.63.5,,none,id(q5nc1f.219)
q5nc1.f.move.64,reply_y,none,id(q5nc1f.220)..id(q5nc1f.222)
q5nc1.f.move.66.5,,none,id(q5nc1f.223)
q5nc1.f.move.67,acknowledge,none,id(q5nc1f.224)..id(q5nc1f.226)
q5nc1.f.move.69.5,,none,id(q5nc1f.227)
q5nc1.f.move.70,acknowledge,none,id(q5nc1f.228)..id(q5nc1f.229)
q5nc1.f.move.71.5,,none,id(q5nc1f.231)
q5nc1.f.move.72,reply_y,none,id(q5nc1f.232)..id(q5nc1f.233)
q5nc1.f.move.75.5,,none,id(q5nc1f.235)
q5nc1.f.move.76,ready,none,id(q5nc1f.236)..id(q5nc1f.239)
q5nc1.f.move.76.5,,none,id(q5nc1f.241)
q5nc1.f.move.77,query_yn,none,id(q5nc1f.242)..id(q5nc1f.252)
q5nc1.f.move.78.5,,none,id(q5nc1f.254)
q5nc1.f.move.79,query_yn,none,id(q5nc1f.255)..id(q5nc1f.260)
q5nc1.f.move.81.5,,none,id(q5nc1f.262)
q5nc1.f.move.82,explain,none,id(q5nc1f.263)..id(q5nc1f.268)
q5nc1.f.move.83.5,,none,id(q5nc1f.270)
q5nc1.f.move.84,explain,none,id(q5nc1f.271)
q5nc1.f.move.85.5,,none,id(q5nc1f.272)..id(q5nc1f.274)
q5nc1.f.move.87,explain,none,id(q5nc1f.275)..id(q5nc1f.282)
q5nc1.f.move.88.5,,none,id(q5nc1f.284)
q5nc1.f.move.89,explain,none,id(q5nc1f.285)..id(q5nc1f.299)
q5nc1.f.move.92.5,,none,id(q5nc1f.301)
q5nc1.f.move.93,query_w,none,id(q5nc1f.302)..id(q5nc1f.337)
q5nc1.f.move.96.5,,none,id(q5nc1f.339)..id(q5nc1f.347)
q5nc1.f.move.97,reply_y,none,id(q5nc1f.348)
q5nc1.f.move.98.5,,none,id(q5nc1f.350)
q5nc1.f.move.99,explain,none,id(q5nc1f.351)..id(q5nc1f.357)
q5nc1.f.move.101.5,,none,id(q5nc1f.359)..id(q5nc1f.361)
q5nc1.f.move.102,reply_y,none,id(q5nc1f.362)
q5nc1.f.move.105.5,,none,id(q5nc1f.364)
q5nc1.f.move.106,acknowledge,none,id(q5nc1f.365)
q5nc1.f.move.110.5,,none,id(q5nc1f.367)..id(q5nc1f.369)
q5nc1.f.move.111,reply_n,none,id(q5nc1f.370)
q5nc1.f.move.112.5,,none,id(q5nc1f.372)
q5nc1.f.move.113,explain,none,id(q5nc1f.373)..id(q5nc1f.376)
q5nc1.f.move.116.5,,none,id(q5nc1f.378)..id(q5nc1f.380)
q5nc1.f.move.117,reply_y,none,id(q5nc1f.381)
q5nc1.f.move.118.5,,none,id(q5nc1f.383)
q5nc1.f.move.119,acknowledge,none,id(q5nc1f.384)
q5nc1.f.move.121.5,,none,id(q5nc1f.386)..id(q5nc1f.387)
q5nc1.f.move.122,acknowledge,none,id(q5nc1f.388)
q5nc1.f.move.123,query_w,none,id(q5nc1f.390)..id(q5nc1f.400)
q5nc1.f.move.126.5,,none,id(q5nc1f.401)..id(q5nc1f.404)
q5nc1.f.move.127,query_w,none,id(q5nc1f.405)..id(q5nc1f.406)
q5nc1.f.move.128.5,,none,id(q5nc1f.408)..id(q5nc1f.413)
q5nc1.f.move.129,query_w,none,id(q5nc1f.414)..id(q5nc1f.418)
q5nc1.f.move.130.5,,none,id(q5nc1f.420)..id(q5nc1f.422)
q5nc1.f.move.131,reply_w,none,id(q5nc1f.423)..id(q5nc1f.430)
q5nc1.f.move.133.5,,none,id(q5nc1f.432)..id(q5nc1f.437)
q5nc1.f.move.134,check,none,id(q5nc1f.438)..id(q5nc1f.445)
q5nc1.f.move.137.5,,none,id(q5nc1f.447)
q5nc1.f.move.138,reply_n,none,id(q5nc1f.448)
q5nc1.f.move.140.5,,none,id(q5nc1f.450)
q5nc1.f.move.141,reply_n,none,id(q5nc1f.451)
q5nc1.f.move.143.5,,none,id(q5nc1f.453)..id(q5nc1f.455)
q5nc1.f.move.144,instruct,none,id(q5nc1f.456)..id(q5nc1f.463)
q5nc1.f.move.148,acknowledge,other,id(q5nc1f.465)
q5nc1.f.move.149.5,,none,id(q5nc1f.467)
q5nc1.f.move.150,acknowledge,none,id(q5nc1f.468)
q5nc1.f.move.151.5,,none,id(q5nc1f.470)
q5nc1.f.move.152,query_yn,none,id(q5nc1f.471)..id(q5nc1f.477)
q5nc1.f.move.153.5,,none,id(q5nc1f.479)
q5nc1.f.move.154,acknowledge,none,id(q5nc1f.480)
q5nc1.f.move.155.5,,none,id(q5nc1f.482)
q5nc1.f.move.156,query_w,none,id(q5nc1f.483)..id(q5nc1f.487)
q5nc1.f.move.159.5,,none,id(q5nc1f.489)..id(q5nc1f.492)
q5nc1.f.move.160,ready,none,id(q5nc1f.493)..id(q5nc1f.496)
q5nc1.f.move.161.5,,none,id(q5nc1f.497)
q5nc1.f.move.162,explain,none,id(q5nc1f.498)..id(q5nc1f.507)
q5nc1.f.move.163,check,none,id(q5nc1f.508)..id(q5nc1f.516)
q5nc1.f.move.164.5,,none,id(q5nc1f.517)..id(q5nc1f.518)
q5nc1.f.move.165,check,none,id(q5nc1f.519)..id(q5nc1f.527)
q5nc1.f.move.168.5,,none,id(q5nc1f.529)
q5nc1.f.move.169,acknowledge,none,id(q5nc1f.530)..id(q5nc1f.539)
q5nc1.f.move.170.5,,none,id(q5nc1f.541)
q5nc1.f.move.171,acknowledge,none,id(q5nc1f.542)
q5nc1.f.move.174.5,,none,id(q5nc1f.544)
q5nc1.f.move.175,acknowledge,none,id(q5nc1f.545)
q5nc1.f.move.176,query_yn,none,id(q5nc1f.547)..id(q5nc1f.553)
q5nc1.f.move.178.5,,none,id(q5nc1f.555)
q5nc1.f.move.179,acknowledge,none,id(q5nc1f.556)
q5nc1.f.move.180.5,,none,id(q5nc1f.558)..id(q5nc1f.560)
q5nc1.f.move.181,reply_y,none,id(q5nc1f.561)
q5nc1.f.move.183.5,,none,id(q5nc1f.563)
q5nc1.f.move.184,acknowledge,none,id(q5nc1f.564)
q5nc1.f.move.186.5,,none,id(q5nc1f.566)
q5nc1.f.move.187,reply_y,none,id(q5nc1f.567)..id(q5nc1f.569)
q5nc1.f.move.190.5,,none,id(q5nc1f.571)..id(q5nc1f.573)
q5nc1.f.move.191,reply_n,none,id(q5nc1f.574)
q5nc1.f.move.194.5,,none,id(q5nc1f.576)..id(q5nc1f.581)
q5nc1.f.move.195,acknowledge,none,id(q5nc1f.582)
q5nc1.f.move.196.5,,none,id(q5nc1f.584)
q5nc1.f.move.197,uncodable,other,id(q5nc1f.585)
q5nc1.f.move.198.5,,none,id(q5nc1f.587)
q5nc1.f.move.199,explain,none,id(q5nc1f.588)..id(q5nc1f.595)
q5nc1.f.move.201.5,,none,id(q5nc1f.597)..id(q5nc1f.598)
q5nc1.f.move.202,reply_y,none,id(q5nc1f.599)
q5nc1.f.move.204.5,,none,id(q5nc1f.601)
q5nc1.f.move.205,check,other,id(q5nc1f.602)
q5nc1.f.move.205.5,,none,id(q5nc1f.604)
q5nc1.f.move.206,acknowledge,none,id(q5nc1f.605)
q5nc1.f.move.207.5,,none,id(q5nc1f.607)
q5nc1.f.move.208,acknowledge,none,id(q5nc1f.608)
q5nc1.f.move.210.5,,none,id(q5nc1f.610)
q5nc1.f.move.211,acknowledge,none,id(q5nc1f.611)
q5nc1.f.move.215.5,,none,id(q5nc1f.613)
q5nc1.f.move.216,acknowledge,none,id(q5nc1f.614)
q5nc1.f.move.216.4,,none,id(q5nc1f.615)
q5nc1.f.move.216.9,reply_n,none,id(q5nc1f.616)
q5nc1.f.move.217,explain,none,id(q5nc1f.618)..id(q5nc1f.630)
q5nc1.f.move.220.5,,none,id(q5nc1f.631)
q5nc1.f.move.221,reply_y,none,id(q5nc1f.632)
q5nc1.f.move.223.5,,none,id(q5nc1f.634)
q5nc1.f.move.224,ready,none,id(q5nc1f.635)..id(q5nc1f.636)
q5nc1.f.move.224.5,,none,id(q5nc1f.638)
