tu_id,start,end,type,utterance,text
q1nc6g.1,0.0000,0.1900,,1,okay
q1nc6g.4,0.1900,0.2480,,1,the
q1nc6g.5,0.2480,0.5600,,1,start's
q1nc6g.7,0.5600,0.6140,,1,at
q1nc6g.8,0.6140,0.6420,,1,the
q1nc6g.9,0.6420,0.8240,,1,top
q1nc6g.10,0.8240,1.1600,,1,left
q1nc6g.12,1.1600,1.3763,outbreath,,
q1nc6g.13,1.3763,3.5605,,,
q1nc6g.14,3.5605,3.6845,,3,you
q1nc6g.15,3.6845,3.8405,,3,have
q1nc6g.16,3.8405,4.1905,,3,cliffs
q1nc6g.17,4.1905,4.4205,,3,there
q1nc6g.19,4.4205,4.5778,lowamp,,
q1nc6g.20,4.5778,6.8484,,,
q1nc6g.21,6.8484,7.0978,,5,yeah
q1nc6g.23,7.0978,7.3038,outbreath,,
q1nc6g.24,7.3039,8.0087,,,
q1nc6g.25,8.0087,8.0646,,7,you
q1nc6g.26,8.0646,8.2486,,7,don't
q1nc6g.27,8.2486,8.3386,,,have
q1nc6g.28,8.3386,8.3746,,7,a
q1nc6g.29,8.3746,8.6846,,,forge
q1nc6g.31,8.6846,8.8046,,7,do
q1nc6g.32,8.8047,8.9462,,,you
q1nc6g.34,8.9462,9.1655,lowamp,,
q1nc6g.35,9.1656,9.6044,,,
q1nc6g.36,9.6044,10.0133,inbreath,,
q1nc6g.37,10.0133,10.1330,,,
q1nc6g.38,10.1330,10.2010,,9,right
q1nc6g.40,10.2010,10.3530,,9,there's
q1nc6g.42,10.3530,10.3830,,9,a
q1nc6g.43,10.3830,10.5850,,9,forge
q1nc6g.44,10.5850,10.7290,,9,about
q1nc6g.45,10.7290,10.8990,,9,two
q1nc6g.46,10.8990,11.1310,,9,inches
q1nc6g.47,11.1310,11.3750,,9,beneath
q1nc6g.48,11.3750,11.4210,,9,the
q1nc6g.49,11.4210,11.7430,,9,cliffs
q1nc6g.51,11.7430,11.9890,,9,okay
q1nc6g.53,11.9890,12.2939,outbreath,,
