tu_id,start,end,type,utterance,text
q2ec2g.1,0.0000,0.6654,,,erm
q2ec2g.3,0.6654,0.8888,,,
q2ec2g.4,0.8888,0.9907,,1,we're
q2ec2g.6,0.9907,1.3498,,1,start
q2ec2g.7,1.3498,1.5827,,,
q2ec2g.8,1.5827,2.0080,,1,oop--
q2ec2g.9,2.0080,2.1377,lowamp,,
q2ec2g.10,2.1377,2.1825,,,
q2ec2g.11,2.1825,2.8673,,1,starting
q2ec2g.12,2.8674,3.0347,,,
q2ec2g.13,3.0347,3.1416,nonvocal,,
q2ec2g.14,3.1416,3.6020,,1,down
q2ec2g.15,3.6021,3.7484,lowamp,,
q2ec2g.16,3.7484,4.9734,inbreath,,
q2ec2g.17,4.9734,5.4471,,,
q2ec2g.18,5.4471,5.4953,phongesture,,
q2ec2g.19,5.4954,7.8309,,,
q2ec2g.20,7.8309,7.9621,,1,that's
q2ec2g.22,7.9621,8.0153,,1,the
q2ec2g.23,8.0153,8.1134,,1,end
q2ec2g.24,8.1134,8.1932,,1,of
q2ec2g.25,8.1932,8.4176,,1,that
q2ec2g.27,8.4176,8.5788,,,
q2ec2g.28,8.5788,8.9112,cough,,
q2ec2g.29,8.9113,9.2404,,,
q2ec2g.30,9.2404,9.6576,inbreath,,
q2ec2g.31,9.6576,9.8022,,,
q2ec2g.32,9.8022,10.1696,,1,erm
q2ec2g.34,10.1696,10.5901,,1,starting
q2ec2g.35,10.5901,11.0938,,1,above
q2ec2g.36,11.0938,11.2700,,1,the
q2ec2g.37,11.2700,11.7421,,1,telephone
q2ec2g.38,11.7421,12.3338,,1,kiosk
q2ec2g.40,12.3338,12.4368,,,
q2ec2g.41,12.4368,13.0452,inbreath,,
q2ec2g.42,13.0452,13.2280,,,
q2ec2g.43,13.2280,13.5339,,3,and
q2ec2g.44,13.5339,13.9544,,,
q2ec2g.45,13.9544,14.0807,,3,we're
q2ec2g.47,14.0808,14.5130,,3,going
q2ec2g.48,14.5130,14.7622,,,
q2ec2g.49,14.7623,15.3873,,3,on
q2ec2g.50,15.3873,16.5210,,,
q2ec2g.51,16.5210,16.9531,,3,the
q2ec2g.52,16.9531,17.5050,,,
q2ec2g.53,17.5050,17.7567,,3,let's
q2ec2g.55,17.7567,17.8907,,3,see
q2ec2g.56,17.8907,18.4624,,3,left-hand
q2ec2g.57,18.4624,18.7234,,3,side
q2ec2g.58,18.7234,18.8813,,3,of
q2ec2g.59,18.8813,19.2620,,3,that
q2ec2g.60,19.2620,19.5429,,,
q2ec2g.61,19.5429,19.6412,,3,as
q2ec2g.62,19.6412,19.8072,,,i'm
q2ec2g.64,19.8072,20.0642,,3,looking
q2ec2g.65,20.0642,20.2527,,3,at
q2ec2g.66,20.2527,20.4737,,3,it
q2ec2g.68,20.4737,21.0638,,,
q2ec2g.69,21.0638,21.2799,lipsmack,,
q2ec2g.70,21.2799,21.5293,,,
q2ec2g.71,21.5293,21.6772,,3,and
q2ec2g.72,21.6772,21.8983,,3,come
q2ec2g.73,21.8983,22.3719,,3,directly
q2ec2g.74,22.3720,22.7859,,3,down
q2ec2g.75,22.7859,22.9189,lowamp,,
q2ec2g.76,22.9189,23.9078,,,
q2ec2g.77,23.9079,24.2869,,5,below
q2ec2g.78,24.2869,24.3850,,5,the
q2ec2g.79,24.3850,24.7373,,5,stone
q2ec2g.80,24.7373,25.2493,,5,circle
q2ec2g.82,25.2493,25.3972,lowamp,,
q2ec2g.83,25.3972,26.2549,,,
q2ec2g.84,26.2549,26.4095,,5,and
q2ec2g.85,26.4095,26.4693,,5,we
q2ec2g.86,26.4694,26.6564,,5,come
q2ec2g.87,26.6564,26.9265,,5,up
q2ec2g.88,26.9265,27.0046,lowamp,,
q2ec2g.89,27.0046,28.6050,outbreath,,
q2ec2g.90,28.6050,29.2952,,,
q2ec2g.91,29.2952,29.3833,,7,you
q2ec2g.92,29.3833,29.5645,,7,don't
q2ec2g.93,29.5645,29.7257,,7,have
q2ec2g.94,29.7257,29.7689,,7,a
q2ec2g.95,29.7689,29.9966,,7,stone
q2ec2g.96,29.9967,30.3541,,7,circle
q2ec2g.98,30.3541,30.8261,outbreath,,
q2ec2g.99,30.8261,31.3198,,,
q2ec2g.100,31.3198,31.5858,nonvocal,,
q2ec2g.101,31.5858,32.1277,,,
q2ec2g.102,32.1277,32.5133,,9,ah
q2ec2g.104,32.5133,32.6363,,,
q2ec2g.105,32.6363,32.6729,nonvocal,,
q2ec2g.106,32.6729,33.3345,,,
q2ec2g.107,33.3345,33.7467,,9,right
q2ec2g.109,33.7467,34.1057,,9,okay
q2ec2g.111,34.1057,34.1822,lowamp,,
q2ec2g.112,34.1822,34.6310,inbreath,,
q2ec2g.113,34.6310,34.7307,,,
q2ec2g.114,34.7308,34.9070,,9,if
q2ec2g.115,34.9070,34.9618,,9,you
q2ec2g.116,34.9618,35.2161,,9,come
q2ec2g.117,35.2161,35.5485,,9,down
q2ec2g.118,35.5486,36.3032,,,
q2ec2g.119,36.3032,36.8518,,9,almost
q2ec2g.120,36.8518,36.9133,lowamp,,
q2ec2g.121,36.9133,37.0629,,,
q2ec2g.122,37.0629,37.1876,,9,to
q2ec2g.123,37.1876,37.2690,,9,the
q2ec2g.124,37.2690,37.7810,,9,bottom
q2ec2g.125,37.7810,37.9421,lowamp,,
q2ec2g.126,37.9422,38.1467,,,
q2ec2g.127,38.1467,38.3678,,9,of
q2ec2g.128,38.3678,38.4506,,9,the
q2ec2g.129,38.4506,38.7285,,9,map
q2ec2g.130,38.7285,38.8216,,9,that
q2ec2g.131,38.8216,38.9462,,9,i've
q2ec2g.133,38.9462,39.1889,,9,got
q2ec2g.135,39.1889,42.2042,,,
q2ec2g.136,42.2042,42.4984,,11,yes
q2ec2g.138,42.4984,42.6530,,,
q2ec2g.139,42.6530,42.7843,,11,to
q2ec2g.140,42.7843,42.9888,,11,my
q2ec2g.141,42.9888,43.1599,,11,what
q2ec2g.142,43.1600,43.3545,,11,was
q2ec2g.143,43.3545,43.5722,,11,my
q2ec2g.144,43.5722,44.0044,,11,left
q2ec2g.145,44.0044,44.4116,,,
q2ec2g.146,44.4116,44.4698,,13,as
q2ec2g.147,44.4698,44.6078,,13,i'm
q2ec2g.149,44.6078,44.7573,,13,looking
q2ec2g.150,44.7573,44.8005,,13,at
q2ec2g.151,44.8006,44.8837,,13,it
q2ec2g.152,44.8837,45.0499,,13,here
q2ec2g.154,45.0499,45.1430,,,
q2ec2g.155,45.1430,45.6616,inbreath,,
q2ec2g.156,45.6616,45.7979,lipsmack,,
q2ec2g.157,45.7979,46.0506,,,
q2ec2g.158,46.0506,46.4296,,15,erm
q2ec2g.160,46.4296,46.5791,,15,and
q2ec2g.161,46.5792,46.7554,,15,come
q2ec2g.162,46.7554,47.1276,,15,directly
q2ec2g.163,47.1277,47.4667,,15,down
q2ec2g.164,47.4667,47.6235,lowamp,,
q2ec2g.165,47.6236,48.1683,,,
q2ec2g.166,48.1683,48.3910,,17,and
q2ec2g.167,48.3910,49.4681,,,
q2ec2g.168,49.4681,49.8105,,17,almost
