tu_id,start,end,type,utterance,text
q3nc1f.1,0.0000,1.0741,,,
q3nc1f.2,1.0741,1.4638,,,okay
q3nc1f.4,1.4639,6.3510,,,
q3nc1f.5,6.3510,6.5209,,,right
q3nc1f.6,6.5209,6.7265,,,okay
q3nc1f.7,6.7265,6.8734,,4,that's
q3nc1f.9,6.8734,7.0146,,4,fine
q3nc1f.11,7.0146,8.3992,,,
q3nc1f.12,8.3993,8.4093,nonvocal,,
q3nc1f.13,8.4093,15.8311,,,
q3nc1f.14,15.8311,15.9325,,,mm
q3nc1f.15,15.9325,16.2134,,6,okay
q3nc1f.17,16.2135,29.1340,,,
q3nc1f.18,29.1340,29.3966,inbreath,,
q3nc1f.19,29.3966,29.7024,,,
q3nc1f.20,29.7024,30.2103,,8,eh
q3nc1f.22,30.2103,31.0135,,,graveyard
q3nc1f.24,31.0136,31.2441,lowamp,,
q3nc1f.25,31.2441,35.9276,,,
q3nc1f.26,35.9276,36.1037,,,no i
q3nc1f.28,36.1037,36.1951,,10,don't
q3nc1f.29,36.1951,36.3314,,10,have
q3nc1f.30,36.3315,36.3897,,10,a
q3nc1f.31,36.3897,36.8201,,10,graveyard
q3nc1f.32,36.8201,36.9265,,10,on
q3nc1f.33,36.9265,37.0678,,,this one
q3nc1f.36,37.0678,39.3467,,,
q3nc1f.37,39.3468,39.5463,,12,yes
q3nc1f.38,39.5463,39.5711,,12,i've
q3nc1f.40,39.5711,39.6858,,12,got
q3nc1f.41,39.6858,39.7174,,12,a
q3nc1f.42,39.7174,39.9800,,12,gold
q3nc1f.42.1,39.9801,40.1829,,12,mine
q3nc1f.44,40.1829,40.4992,lowamp,,
q3nc1f.45,40.4992,42.6247,,,
q3nc1f.46,42.6247,42.7045,nonvocal,,
q3nc1f.47,42.7045,43.3395,,,
q3nc1f.48,43.3395,43.6502,laugh,,
q3nc1f.49,43.6503,44.9601,,,
q3nc1f.50,44.9601,45.1928,cough,,
q3nc1f.51,45.1928,45.2493,,,
q3nc1f.52,45.2493,45.3823,,16,no
q3nc1f.53,45.3823,45.4953,,16,it's
q3nc1f.55,45.4953,45.5285,,16,a
q3nc1f.56,45.5286,45.7813,,16,gold
q3nc1f.56.1,45.7813,45.9409,,16,mine
q3nc1f.57,45.9409,46.2882,,16,according
q3nc1f.58,46.2882,46.3588,,16,to
q3nc1f.59,46.3589,46.5176,,16,this
q3nc1f.60,46.5176,46.6755,,16,one
q3nc1f.62,46.6756,46.9814,,,
q3nc1f.63,46.9814,47.2091,,16,presumably
q3nc1f.64,47.2091,47.4368,,16,that's
q3nc1f.66,47.4368,47.4883,,16,the
q3nc1f.67,47.4884,47.8923,,16,same
q3nc1f.69,47.8923,48.0219,lowamp,,
q3nc1f.70,48.0219,50.2260,,,
q3nc1f.71,50.2261,50.3342,,18,i
q3nc1f.72,50.3342,50.6749,,18,see
q3nc1f.74,50.6749,50.7813,lowamp,,
q3nc1f.75,50.7813,50.8495,,,
q3nc1f.76,50.8495,51.0622,,18,mm
q3nc1f.77,51.0622,51.2218,,18,that's
q3nc1f.79,51.2218,51.6838,,18,interesting
q3nc1f.81,51.6838,51.8477,lowamp,,
q3nc1f.82,51.8477,52.4651,,,
q3nc1f.83,52.4651,52.6230,nonvocal,,
q3nc1f.84,52.6230,58.2496,,,
q3nc1f.85,58.2497,58.4741,cough,,
q3nc1f.86,58.4741,58.8980,,20,no
q3nc1f.88,58.8980,59.0658,,20,no
q3nc1f.89,59.0658,59.5329,,20,graveyard
q3nc1f.91,59.5329,59.6709,lowamp,,
q3nc1f.92,59.6709,60.8311,,,
q3nc1f.93,60.8311,61.1336,,20,got
q3nc1f.94,61.1336,61.5641,,20,eh
q3nc1f.96,61.5641,61.8263,lowamp,,
q3nc1f.97,61.8263,62.9717,,,
q3nc1f.98,62.9718,63.4458,,20,carved
q3nc1f.99,63.4458,64.0839,,20,stones
q3nc1f.100,64.0839,64.1778,lowamp,,
q3nc1f.101,64.1778,64.3168,,20,at
q3nc1f.102,64.3168,64.3899,,20,the
q3nc1f.103,64.3900,64.6476,,20,top
q3nc1f.104,64.6476,64.7440,,,of the
q3nc1f.106,64.7440,65.1512,,20,page
q3nc1f.107,65.1513,65.3007,lowamp,,
q3nc1f.108,65.3007,66.9083,,,
q3nc1f.109,66.9083,67.1841,,20,and
q3nc1f.110,67.1842,67.5449,,20,directly
q3nc1f.111,67.5449,67.8175,,20,below
q3nc1f.112,67.8175,67.8923,,20,the
q3nc1f.113,67.8923,68.4518,,20,diamond
q3nc1f.115,68.4518,68.7417,,,
q3nc1f.116,68.7417,68.8830,,20,sorry
q3nc1f.117,68.8830,69.0326,,20,just
q3nc1f.118,69.0326,69.3218,,20,beyond
q3nc1f.119,69.3218,69.5861,,20,diamond
q3nc1f.119.1,69.5861,69.9038,,20,mine
q3nc1f.120,69.9038,69.9632,lipsmack,,
q3nc1f.121,69.9632,70.1901,inbreath,,
q3nc1f.122,70.1902,70.5337,,,
q3nc1f.123,70.5337,70.6749,,20,below
q3nc1f.124,70.6749,70.7281,,20,the
q3nc1f.125,70.7281,70.9957,,20,diamond
q3nc1f.125.1,70.9957,71.2367,,20,mine
q3nc1f.126,71.2367,71.4069,,,is
q3nc1f.127,71.4069,71.4428,,,the
q3nc1f.128,71.4428,71.6639,,20,gold
q3nc1f.128.1,71.6639,72.0113,,20,mine
q3nc1f.130,72.0113,72.1139,lowamp,,
q3nc1f.131,72.1139,77.3172,,,
q3nc1f.132,77.3172,77.4817,,22,sorry
q3nc1f.134,77.4817,77.7244,,22,yes
q3nc1f.135,77.7244,77.9588,,22,yes
q3nc1f.136,77.9588,78.0137,,22,the
q3nc1f.137,78.0137,78.2646,,22,diamond
q3nc1f.137.1,78.2646,78.3976,,22,mine
q3nc1f.138,78.3976,78.5056,,22,we've
q3nc1f.140,78.5057,78.6287,,22,just
q3nc1f.141,78.6287,78.8265,,22,gone
q3nc1f.142,78.8265,79.2155,,22,past
q3nc1f.144,79.2155,81.6705,,,
q3nc1f.145,81.6706,81.9016,,24,yeah
q3nc1f.147,81.9016,83.6951,,,
q3nc1f.148,83.6951,83.9711,,26,yes
q3nc1f.150,83.9711,95.8092,,,
q3nc1f.151,95.8092,95.9757,,24,above
q3nc1f.152,95.9757,96.0688,,24,the
q3nc1f.153,96.0688,96.3747,,24,carved
q3nc1f.154,96.3747,96.8800,,24,stones
q3nc1f.156,96.8800,97.1757,,24,okay
q3nc1f.158,97.1757,97.2766,lowamp,,
q3nc1f.159,97.2766,107.9305,,,
q3nc1f.160,107.9305,108.4159,,30,yes
q3nc1f.161,108.4159,108.4591,,32,i've
q3nc1f.163,108.4591,108.7167,,32,also
q3nc1f.164,108.7168,108.8381,,32,got
q3nc1f.165,108.8381,108.8830,,32,a
q3nc1f.166,108.8830,109.3468,,32,ravine
q3nc1f.168,109.3468,109.6626,,,
q3nc1f.169,109.6626,109.8936,,32,below
q3nc1f.170,109.8936,109.9784,,32,the
q3nc1f.171,109.9784,110.2710,,32,carved
q3nc1f.172,110.2710,110.7197,,32,stones
q3nc1f.174,110.7198,113.3960,,,
q3nc1f.175,113.3960,113.5837,,34,right
q3nc1f.176,113.5838,113.8730,,34,okay
q3nc1f.177,113.8730,114.0160,,,
q3nc1f.178,114.0160,114.1407,,36,i'll
q3nc1f.180,114.1407,114.2603,,36,need
q3nc1f.181,114.2603,114.3268,,36,to
q3nc1f.182,114.3268,114.5928,,36,avoid
q3nc1f.183,114.5928,114.7723,,36,that
q3nc1f.184,114.7723,116.4096,,,
q3nc1f.185,116.4096,116.6473,,38,yes
q3nc1f.186,116.6473,116.7686,,38,got
q3nc1f.187,116.7686,117.0030,,38,indian
q3nc1f.188,117.0030,117.2723,,38,country
q3nc1f.190,117.2723,117.4596,lowamp,,
q3nc1f.191,117.4596,123.2729,,,
q3nc1f.192,123.2729,123.4790,,40,right
q3nc1f.194,123.4791,125.7780,,,
q3nc1f.195,125.7780,125.8976,,42,yes
q3nc1f.196,125.8976,126.0056,,42,got
q3nc1f.197,126.0057,126.0689,,42,a
q3nc1f.198,126.0689,126.2616,,42,great
q3nc1f.199,126.2616,126.5542,,42,rock
q3nc1f.201,126.5542,126.7728,lowamp,,
q3nc1f.202,126.7729,132.8740,,,
