tu_id,start,end,type,utterance,text
q5ec1f.1,0.0000,3.5046,,,
q5ec1f.2,3.5046,4.0514,,2,aye
q5ec1f.3,4.0514,7.3419,,,
q5ec1f.4,7.3419,7.6746,,4,my
q5ec1f.5,7.6746,8.1225,,4,left
q5ec1f.7,8.1225,14.1699,,,
q5ec1f.8,14.1699,14.5487,,6,uh-huh
q5ec1f.9,14.5487,16.2549,,,
q5ec1f.10,16.2550,16.5876,,8,uh-huh
q5ec1f.11,16.5876,18.3992,,,
q5ec1f.12,18.3992,19.0580,,10,right
q5ec1f.13,19.0580,20.9618,,,
q5ec1f.14,20.9618,21.4031,,12,mmhmm
q5ec1f.15,21.4032,22.9776,,,
q5ec1f.16,22.9776,23.4124,nonvocal,,
q5ec1f.17,23.4124,26.0310,,,
q5ec1f.18,26.0310,26.2714,,14,aye
q5ec1f.20,26.2714,26.5316,,,
q5ec1f.21,26.5316,26.7226,,14,le--
q5ec1f.22,26.7227,26.8812,,14,i'm
q5ec1f.24,26.8812,27.0520,,14,going
q5ec1f.25,27.0520,27.2694,,14,back
q5ec1f.26,27.2694,27.4275,,14,down
q5ec1f.27,27.4275,27.8359,,14,south
q5ec1f.28,27.8360,28.7517,,,
q5ec1f.29,28.7517,29.2161,,16,aye
q5ec1f.30,29.2161,30.2272,,,
q5ec1f.31,30.2273,30.5840,cough,,
q5ec1f.32,30.5840,30.7543,,,
q5ec1f.33,30.7543,31.2319,,,dnndnn
q5ec1f.34,31.2319,32.8393,,,
q5ec1f.35,32.8393,33.4255,,18,aye
q5ec1f.37,33.4255,33.8372,,18,right
q5ec1f.38,33.8373,34.9045,,,
q5ec1f.39,34.9045,35.2733,,20,uh-huh
q5ec1f.40,35.2734,38.7220,,,
q5ec1f.41,38.7220,38.8719,,22,right
q5ec1f.43,38.8719,38.9541,,22,well
q5ec1f.44,38.9542,39.2885,,22,stop
q5ec1f.45,39.2885,39.4828,,22,now
q5ec1f.47,39.4828,39.7413,,,
q5ec1f.48,39.7414,39.8534,nonvocal,,
q5ec1f.49,39.8534,40.5286,,,
q5ec1f.50,40.5286,40.7443,,24,right
q5ec1f.52,40.7443,40.9568,,,
q5ec1f.53,40.9568,41.2648,,24,so
q5ec1f.54,41.2648,41.4641,,,
q5ec1f.55,41.4641,41.5877,,24,out
q5ec1f.56,41.5877,41.7424,,,
q5ec1f.57,41.7424,41.8017,,24,the
q5ec1f.58,41.8017,42.2826,,24,caravan
q5ec1f.59,42.2826,42.8080,,24,park
q5ec1f.60,42.8080,44.2127,,,
q5ec1f.61,44.2127,44.4367,,26,right
q5ec1f.63,44.4367,44.6442,,26,go
q5ec1f.64,44.6442,45.1317,,26,left
q5ec1f.66,45.1317,46.3536,,,
q5ec1f.67,46.3536,46.4722,,26,then
q5ec1f.68,46.4722,46.7686,,26,left
q5ec1f.69,46.7687,47.1771,,26,again
q5ec1f.70,47.1771,48.7713,,,
q5ec1f.71,48.7713,49.5157,,28,right
q5ec1f.73,49.5157,51.8774,,,
q5ec1f.74,51.8774,52.1519,cough,,
q5ec1f.75,52.1519,52.4109,,,
q5ec1f.76,52.4109,52.4471,lipsmack,,
