transaction_id,type,map_start_point,map_end_point,children
q1ec6.transaction.1,normal,1,2,"id(q1ec6.g.move.1)..id(q1ec6.g.move.2), id(q1ec6.f.move.3)..id(q1ec6.f.move.5)"
q1ec6.transaction.2,normal,2,3,"id(q1ec6.g.move.4)..id(q1ec6.g.move.5.5), id(q1ec6.f.move.5.9)..id(q1ec6.f.move.6.5), id(q1ec6.g.move.6)..id(q1ec6.g.move.7.5), id(q1ec6.f.move.7), id(q1ec6.g.move.8)..id(q1ec6.g.move.9)"
q1ec6.transaction.3,normal,3,4,"id(q1ec6.g.move.10), id(q1ec6.f.move.11.5), id(q1ec6.g.move.11)..id(q1ec6.g.move.13.5), id(q1ec6.f.move.12)..id(q1ec6.f.move.14.5), id(q1ec6.g.move.14)..id(q1ec6.g.move.15.5), id(q1ec6.f.move.15)..id(q1ec6.f.move.16.5), id(q1ec6.g.move.16)..id(q1ec6.g.move.18.5), id(q1ec6.f.move.17)..id(q1ec6.f.move.20.5), id(q1ec6.g.move.19)"
q1ec6.transaction.4,normal,4,5,"id(q1ec6.g.move.20), id(q1ec6.f.move.21), id(q1ec6.g.move.21.5), id(q1ec6.f.move.23.5), id(q1ec6.g.move.22)..id(q1ec6.g.move.24.5), id(q1ec6.f.move.24)..id(q1ec6.f.move.25.5), id(q1ec6.g.move.25)..id(q1ec6.g.move.26.5), id(q1ec6.f.move.26)..id(q1ec6.f.move.29.5), id(q1ec6.g.move.27), id(q1ec6.f.move.30)"
q1ec6.transaction.5,normal,5,6,"id(q1ec6.g.move.31)..id(q1ec6.g.move.32.5), id(q1ec6.f.move.32)..id(q1ec6.f.move.33.5), id(q1ec6.g.move.33)..id(q1ec6.g.move.34.5), id(q1ec6.f.move.34)..id(q1ec6.f.move.36), id(q1ec6.g.move.35)..id(q1ec6.g.move.38), id(q1ec6.f.move.40.5), id(q1ec6.g.move.38.5)..id(q1ec6.g.move.39)"
q1ec6.transaction.6,normal,6,7,"id(q1ec6.g.move.40)..id(q1ec6.g.move.41.5), id(q1ec6.f.move.41)..id(q1ec6.f.move.42.5), id(q1ec6.g.move.42)..id(q1ec6.g.move.43.5), id(q1ec6.f.move.43)..id(q1ec6.f.move.44.5), id(q1ec6.g.move.44)..id(q1ec6.g.move.45.5), id(q1ec6.f.move.45)..id(q1ec6.f.move.46.5), id(q1ec6.g.move.46), id(q1ec6.f.move.47)"
q1ec6.transaction.7,normal,7,8,"id(q1ec6.g.move.48), id(q1ec6.f.move.49)"
q1ec6.transaction.8,normal,8,9,"id(q1ec6.g.move.50)..id(q1ec6.g.move.51.5), id(q1ec6.f.move.51)..id(q1ec6.f.move.52.5), id(q1ec6.g.move.52)..id(q1ec6.g.move.53.5), id(q1ec6.f.move.53)..id(q1ec6.f.move.54.5), id(q1ec6.g.move.54)..id(q1ec6.g.move.55.5), id(q1ec6.f.move.55)"
q1ec6.transaction.9,normal,9,10,id(q1ec6.g.move.56)..id(q1ec6.g.move.57)
q1ec6.transaction.10,review,6,10,"id(q1ec6.f.move.58)..id(q1ec6.f.move.62.5), id(q1ec6.g.move.60)..id(q1ec6.g.move.63.5), id(q1ec6.f.move.65)..id(q1ec6.f.move.66.5), id(q1ec6.g.move.64)..id(q1ec6.g.move.67.5), id(q1ec6.f.move.69)"
q1ec6.transaction.11,normal,10,11,"id(q1ec6.g.move.68)..id(q1ec6.g.move.69.5), id(q1ec6.f.move.70.5), id(q1ec6.g.move.70), id(q1ec6.f.move.71), id(q1ec6.g.move.71.5), id(q1ec6.f.move.72.5), id(q1ec6.g.move.72)..id(q1ec6.g.move.73.5), id(q1ec6.f.move.73)..id(q1ec6.f.move.74.5), id(q1ec6.g.move.74)..id(q1ec6.g.move.75.5), id(q1ec6.f.move.75)"
q1ec6.transaction.12,normal,11,12,"id(q1ec6.g.move.76), id(q1ec6.f.move.77.5), id(q1ec6.g.move.77)..id(q1ec6.g.move.78.5), id(q1ec6.f.move.78)..id(q1ec6.f.move.79.5), id(q1ec6.g.move.79), id(q1ec6.f.move.80)..id(q1ec6.f.move.83)"
q1ec6.transaction.13,normal,12,13,"id(q1ec6.g.move.81)..id(q1ec6.g.move.83.5), id(q1ec6.f.move.83.2)..id(q1ec6.f.move.84.5), id(q1ec6.g.move.84), id(q1ec6.f.move.88), id(q1ec6.g.move.85.5), id(q1ec6.f.move.90.5), id(q1ec6.g.move.86)..id(q1ec6.g.move.88.5), id(q1ec6.f.move.91)"
q1ec6.transaction.14,normal,13,14,"id(q1ec6.g.move.89)..id(q1ec6.g.move.91.5), id(q1ec6.f.move.91.2)..id(q1ec6.f.move.92.5), id(q1ec6.g.move.92)..id(q1ec6.g.move.93.5), id(q1ec6.f.move.93), id(q1ec6.g.move.94), id(q1ec6.f.move.95)"
q1ec6.transaction.15,normal,14,15,"id(q1ec6.g.move.96)..id(q1ec6.g.move.97), id(q1ec6.f.move.98), id(q1ec6.g.move.98.5), id(q1ec6.f.move.100.5), id(q1ec6.g.move.99)..id(q1ec6.g.move.100), id(q1ec6.f.move.101)"
q1ec6.transaction.16,normal,15,16,"id(q1ec6.g.move.102)..id(q1ec6.g.move.104.5), id(q1ec6.f.move.104)..id(q1ec6.f.move.105.5), id(q1ec6.g.move.105), id(q1ec6.f.move.106), id(q1ec6.g.move.106.5), id(q1ec6.f.move.108.5), id(q1ec6.g.move.107)..id(q1ec6.g.move.109.5), id(q1ec6.f.move.109), id(q1ec6.g.move.110)"
