conversation_id,transaction_id,transaction_type,move_id,label,map_start_point,map_end_point,timed_units,timed_unit_type,timed_unit_start,timed_unit_end,eyecontact,familiar,map,quad,devscore,f_gaze_type,g_gaze_type
3,q3nc3.transaction.1,normal,q3nc3.g.move.1,ready,1.0,3.0,right,,0.0,0.1865,no,yes,m4,3,56,off,down
3,q3nc3.transaction.1,normal,q3nc3.g.move.8.5,,1.0,3.0,,,1.1442,2.7629,no,yes,m4,3,56,down,down
3,q3nc3.transaction.1,normal,q3nc3.f.move.3,acknowledge,1.0,3.0,uh-huh,,1.1549,1.3735,no,yes,m4,3,56,down,down
3,q3nc3.transaction.1,normal,q3nc3.f.move.10.5,,1.0,3.0,,,3.1765,3.3327,no,yes,m4,3,56,down,down
3,q3nc3.transaction.1,normal,q3nc3.g.move.9,reply_y,1.0,3.0,forest fire yeah,,2.763,3.5137,no,yes,m4,3,56,down,down
3,q3nc3.transaction.1,normal,q3nc3.g.move.11.5,,1.0,3.0,,,3.5137,4.5356,no,yes,m4,3,56,off,down
3,q3nc3.transaction.1,normal,q3nc3.f.move.11,acknowledge,1.0,3.0,right okay,lowamp,3.3327,3.9079,no,yes,m4,3,56,off,down
3,q3nc3.transaction.1,normal,q3nc3.f.move.12.5,,1.0,3.0,,,3.9079,7.9056,no,yes,m4,3,56,off,down
3,q3nc3.transaction.1,normal,q3nc3.g.move.12,instruct,1.0,3.0,and you head down towards the bottom of the map past the side of,,4.5356,7.7141,no,yes,m4,3,56,off,down
3,q3nc3.transaction.1,normal,q3nc3.g.move.13.5,,1.0,3.0,,,7.7141,8.7417,no,yes,m4,3,56,off,down
3,q3nc3.transaction.1,normal,q3nc3.f.move.13,check,1.0,3.0,through the forest fire,lowamp,7.9056,9.0758,no,yes,m4,3,56,off,down
3,q3nc3.transaction.1,normal,q3nc3.f.move.15.5,,1.0,3.0,,,9.0758,11.0638,no,yes,m4,3,56,off,down
3,q3nc3.transaction.1,normal,q3nc3.g.move.14,reply_n,1.0,3.0,no,,8.7417,9.1123,no,yes,m4,3,56,off,down
3,q3nc3.transaction.1,normal,q3nc3.g.move.16.5,,1.0,3.0,,,11.4575,12.5593,no,yes,m4,3,56,off,down
3,q3nc3.transaction.1,normal,q3nc3.f.move.16,query_w,1.0,3.0,which side,lowamp,11.0638,12.0595,no,yes,m4,3,56,off,down
3,q3nc3.transaction.1,normal,q3nc3.f.move.17.5,,1.0,3.0,,,12.0595,14.3934,no,yes,m4,3,56,off,down
3,q3nc3.transaction.1,normal,q3nc3.g.move.17,clarify,1.0,3.0,the nearest the edge of the paper,unintelligible,12.5593,14.6542,no,yes,m4,3,56,off,down
3,q3nc3.transaction.1,normal,q3nc3.g.move.18.5,,1.0,3.0,,,14.6542,15.1615,no,yes,m4,3,56,off,down
3,q3nc3.transaction.1,normal,q3nc3.f.move.18,acknowledge,1.0,3.0,right,lowamp,14.3934,14.8355,no,yes,m4,3,56,off,down
3,q3nc3.transaction.1,normal,q3nc3.f.move.19.5,,1.0,3.0,,,14.8355,15.9225,no,yes,m4,3,56,off,down
3,q3nc3.transaction.1,normal,q3nc3.g.move.19,instruct,1.0,3.0,head downwards,,15.1615,15.8597,no,yes,m4,3,56,off,down
3,q3nc3.transaction.1,normal,q3nc3.f.move.20,acknowledge,1.0,3.0,mmhmm,,15.9226,16.2085,no,yes,m4,3,56,off,down
3,q3nc3.transaction.2,normal,q3nc3.g.move.21,instruct,3.0,5.0,go right down underneath the picnic site,,17.9002,20.2849,no,yes,m4,3,56,down,down
3,q3nc3.transaction.2,normal,q3nc3.g.move.22.5,,3.0,5.0,,,20.2849,20.97,no,yes,m4,3,56,down,down
3,q3nc3.transaction.2,normal,q3nc3.f.move.22,explain,3.0,5.0,don't have haven't got a picnic site,,20.9475,23.2497,no,yes,m4,3,56,down,down
3,q3nc3.transaction.2,normal,q3nc3.f.move.25.5,,3.0,5.0,,,23.2497,27.1559,no,yes,m4,3,56,down,down
3,q3nc3.transaction.2,normal,q3nc3.g.move.23,instruct,3.0,5.0,curve round it,lowamp,20.9701,21.8412,no,yes,m4,3,56,down,down
