conversation,eyecontact,familiar,id,map,quad,devscore
1,yes,no,q1ec1,m12,1,135
2,yes,no,q1ec2,m9,1,227
3,yes,yes,q1ec3,m6,1,74
4,yes,yes,q1ec4,m3,1,152
5,yes,no,q1ec5,m6,1,105
6,yes,no,q1ec6,m3,1,53
7,yes,yes,q1ec7,m12,1,104
8,yes,yes,q1ec8,m9,1,85
1,no,no,q1nc1,m12,1,78
2,no,no,q1nc2,m9,1,204
3,no,yes,q1nc3,m6,1,40
4,no,yes,q1nc4,m3,1,53
5,no,no,q1nc5,m6,1,35
6,no,no,q1nc6,m3,1,34
7,no,yes,q1nc7,m12,1,18
8,no,yes,q1nc8,m9,1,69
1,yes,no,q2ec1,m15,2,120
2,yes,no,q2ec2,m8,2,97
3,yes,yes,q2ec3,m5,2,105
4,yes,yes,q2ec4,m2,2,142
5,yes,no,q2ec5,m5,2,66
6,yes,no,q2ec6,m2,2,89
7,yes,yes,q2ec7,m15,2,28
8,yes,yes,q2ec8,m8,2,58
1,no,no,q2nc1,m15,2,51
2,no,no,q2nc2,m8,2,90
3,no,yes,q2nc3,m5,2,44
4,no,yes,q2nc4,m2,2,104
5,no,no,q2nc5,m5,2,41
6,no,no,q2nc6,m2,2,99
7,no,yes,q2nc7,m15,2,20
8,no,yes,q2nc8,m8,2,19
1,yes,no,q3ec1,m14,3,140
2,yes,no,q3ec2,m11,3,191
3,yes,yes,q3ec3,m4,3,28
4,yes,yes,q3ec4,m1,3,154
5,yes,no,q3ec5,m4,3,20
6,yes,no,q3ec6,m1,3,89
7,yes,yes,q3ec7,m14,3,57
8,yes,yes,q3ec8,m11,3,37
1,no,no,q3nc1,m14,3,105
2,no,no,q3nc2,m11,3,114
3,no,yes,q3nc3,m4,3,56
4,no,yes,q3nc4,m1,3,45
5,no,no,q3nc5,m4,3,139
6,no,no,q3nc6,m1,3,99
7,no,yes,q3nc7,m14,3,55
8,no,yes,q3nc8,m11,3,42
1,yes,no,q4ec1,m13,4,204
2,yes,no,q4ec2,m10,4,117
3,yes,yes,q4ec3,m7,4,11
4,yes,yes,q4ec4,m0,4,73
5,yes,no,q4ec5,m7,4,26
6,yes,no,q4ec6,m0,4,49
7,yes,yes,q4ec7,m13,4,43
8,yes,yes,q4ec8,m10,4,30
1,no,no,q4nc1,m13,4,74
2,no,no,q4nc2,m10,4,83
3,no,yes,q4nc3,m7,4,75
4,no,yes,q4nc4,m0,4,45
5,no,no,q4nc5,m7,4,21
6,no,no,q4nc6,m0,4,37
7,no,yes,q4nc7,m13,4,28
8,no,yes,q4nc8,m10,4,20
1,yes,yes,q5ec1,m12,5,146
2,yes,yes,q5ec2,m9,5,187
3,yes,no,q5ec3,m6,5,66
4,yes,no,q5ec4,m3,5,4
5,yes,yes,q5ec5,m6,5,28
6,yes,yes,q5ec6,m3,5,38
7,yes,no,q5ec7,m12,5,154
8,yes,no,q5ec8,m9,5,102
1,no,yes,q5nc1,m12,5,64
2,no,yes,q5nc2,m9,5,201
3,no,no,q5nc3,m6,5,29
4,no,no,q5nc4,m3,5,90
5,no,yes,q5nc5,m6,5,17
6,no,yes,q5nc6,m3,5,65
7,no,no,q5nc7,m12,5,108
8,no,no,q5nc8,m9,5,28
1,yes,yes,q6ec1,m15,6,38
2,yes,yes,q6ec2,m8,6,81
3,yes,no,q6ec3,m5,6,97
4,yes,no,q6ec4,m2,6,35
5,yes,yes,q6ec5,m5,6,60
6,yes,yes,q6ec6,m2,6,32
7,yes,no,q6ec7,m15,6,54
8,yes,no,q6ec8,m8,6,67
1,no,yes,q6nc1,m15,6,83
2,no,yes,q6nc2,m8,6,56
3,no,no,q6nc3,m5,6,161
4,no,no,q6nc4,m2,6,108
5,no,yes,q6nc5,m5,6,178
6,no,yes,q6nc6,m2,6,52
7,no,no,q6nc7,m15,6,52
8,no,no,q6nc8,m8,6,145
1,yes,yes,q7ec1,m14,7,86
2,yes,yes,q7ec2,m11,7,7
3,yes,no,q7ec3,m4,7,27
4,yes,no,q7ec4,m1,7,57
5,yes,yes,q7ec5,m4,7,24
6,yes,yes,q7ec6,m1,7,7
7,yes,no,q7ec7,m14,7,27
8,yes,no,q7ec8,m11,7,38
1,no,yes,q7nc1,m14,7,157
2,no,yes,q7nc2,m11,7,56
3,no,no,q7nc3,m4,7,104
4,no,no,q7nc4,m1,7,35
5,no,yes,q7nc5,m4,7,34
6,no,yes,q7nc6,m1,7,26
7,no,no,q7nc7,m14,7,48
8,no,no,q7nc8,m11,7,53
1,yes,yes,q8ec1,m13,8,37
2,yes,yes,q8ec2,m10,8,135
3,yes,no,q8ec3,m7,8,11
4,yes,no,q8ec4,m0,8,54
5,yes,yes,q8ec5,m7,8,25
6,yes,yes,q8ec6,m0,8,47
7,yes,no,q8ec7,m13,8,43
8,yes,no,q8ec8,m10,8,19
1,no,yes,q8nc1,m13,8,25
2,no,yes,q8nc2,m10,8,112
3,no,no,q8nc3,m7,8,54
4,no,no,q8nc4,m0,8,76
5,no,yes,q8nc5,m7,8,40
6,no,yes,q8nc6,m0,8,62
7,no,no,q8nc7,m13,8,47
8,no,no,q8nc8,m10,8,49
